,date,quarter,department,week_day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity,day,month
21,2015-01-03,1,finishing,Saturday,9,0.8,4.15,0.0,960,0,0.0,0,0,8.0,0.956270833,3,1
22,2015-01-03,1,finishing,Saturday,3,0.75,3.94,0.0,1560,0,0.0,0,0,8.0,0.945277778,3,1
23,2015-01-03,1,finishing,Saturday,1,0.8,3.94,0.0,960,0,0.0,0,0,8.0,0.902916667,3,1
24,2015-01-03,1,sweing,Saturday,1,0.8,28.08,772.0,6300,50,0.0,0,0,56.5,0.800725314,3,1
25,2015-01-03,1,sweing,Saturday,3,0.8,28.08,913.0,6540,50,0.0,0,0,54.5,0.800322936,3,1
26,2015-01-03,1,sweing,Saturday,8,0.8,26.16,1261.0,7080,50,0.0,0,0,59.0,0.800318644,3,1
27,2015-01-03,1,sweing,Saturday,12,0.8,26.16,844.0,7080,63,0.0,0,0,59.0,0.800318644,3,1
28,2015-01-03,1,sweing,Saturday,11,0.8,11.61,1005.0,7080,50,0.0,0,0,29.5,0.800237288,3,1
29,2015-01-03,1,sweing,Saturday,5,0.8,11.61,659.0,7080,50,0.0,0,0,31.5,0.800148649,3,1
30,2015-01-03,1,sweing,Saturday,6,0.8,25.9,1152.0,6720,50,0.0,0,0,56.0,0.800125,3,1
31,2015-01-03,1,sweing,Saturday,7,0.8,25.9,1138.0,6720,38,0.0,0,0,56.0,0.800125,3,1
32,2015-01-03,1,sweing,Saturday,10,0.75,19.31,610.0,6480,56,0.0,0,0,54.0,0.787299691,3,1
33,2015-01-03,1,finishing,Saturday,2,0.8,4.15,0.0,960,0,0.0,0,0,8.0,0.782447917,3,1
34,2015-01-03,1,sweing,Saturday,2,0.75,19.87,944.0,6600,45,0.0,0,0,55.0,0.75024303,3,1
35,2015-01-03,1,finishing,Saturday,10,0.7,4.15,0.0,960,0,0.0,0,0,8.0,0.7018125,3,1
36,2015-01-03,1,sweing,Saturday,4,0.7,23.69,544.0,13800,0,0.0,0,0,60.0,0.700134038,3,1
37,2015-01-03,1,sweing,Saturday,9,0.7,28.08,1072.0,6900,40,0.0,0,0,57.5,0.699965217,3,1
38,2015-01-03,1,finishing,Saturday,8,0.8,2.9,0.0,960,0,0.0,0,0,8.0,0.628333333,3,1
39,2015-01-03,1,finishing,Saturday,7,0.8,3.94,0.0,960,0,0.0,0,0,8.0,0.6253125,3,1
40,2015-01-04,1,finishing,Sunday,3,0.75,4.15,0.0,1560,0,0.0,0,0,8.0,0.991388889,4,1
41,2015-01-04,1,finishing,Sunday,9,0.8,3.94,0.0,960,0,0.0,0,0,8.0,0.931645833,4,1
42,2015-01-04,1,finishing,Sunday,1,0.8,3.94,0.0,960,0,0.0,0,0,8.0,0.915229167,4,1
43,2015-01-04,1,sweing,Sunday,6,0.8,11.61,539.0,6975,50,0.0,0,0,31.0,0.879714482,4,1
44,2015-01-04,1,finishing,Sunday,4,0.8,3.94,0.0,6600,0,0.0,0,0,20.0,0.861679012,4,1
45,2015-01-04,1,sweing,Sunday,9,0.8,26.16,1278.0,7080,60,0.0,0,0,59.0,0.850569492,4,1
46,2015-01-04,1,sweing,Sunday,7,0.8,25.9,1227.0,7020,60,0.0,0,0,56.5,0.850436438,4,1
47,2015-01-04,1,sweing,Sunday,8,0.8,25.9,1039.0,6780,45,0.0,0,0,56.5,0.850345133,4,1
48,2015-01-04,1,sweing,Sunday,4,0.8,28.08,878.0,4260,50,0.0,0,0,55.5,0.800598058,4,1
49,2015-01-04,1,sweing,Sunday,1,0.8,26.16,1033.0,7080,63,0.0,0,0,59.0,0.800318644,4,1
50,2015-01-04,1,sweing,Sunday,2,0.8,28.08,782.0,6660,50,0.0,0,0,55.5,0.800237838,4,1
51,2015-01-04,1,sweing,Sunday,12,0.8,11.61,1216.0,6975,50,0.0,0,0,31.0,0.800030199,4,1
52,2015-01-04,1,finishing,Sunday,2,0.8,3.94,0.0,960,0,0.0,0,0,8.0,0.792104167,4,1
53,2015-01-04,1,finishing,Sunday,10,0.7,3.94,0.0,4320,0,0.0,0,0,18.0,0.759228395,4,1
54,2015-01-04,1,sweing,Sunday,11,0.75,19.31,513.0,6480,45,0.0,0,0,54.0,0.750348457,4,1
55,2015-01-04,1,sweing,Sunday,3,0.75,19.87,734.0,6600,45,0.0,0,0,55.0,0.75024303,4,1
56,2015-01-04,1,sweing,Sunday,10,0.7,28.08,1202.0,6900,40,0.0,0,0,57.5,0.699965217,4,1
57,2015-01-04,1,finishing,Sunday,8,0.8,2.9,0.0,960,0,0.0,0,0,8.0,0.682708333,4,1
58,2015-01-04,1,finishing,Sunday,7,0.8,2.9,0.0,960,0,0.0,0,0,8.0,0.667604167,4,1
59,2015-01-04,1,sweing,Sunday,5,0.7,45.67,884.0,6960,26,0.0,0,0,58.0,0.603432184,4,1
60,2015-01-04,1,finishing,Sunday,11,0.75,4.15,0.0,960,0,0.0,0,0,8.0,0.345833333,4,1
61,2015-01-05,1,finishing,Monday,1,0.8,3.94,0.0,1920,0,0.0,0,0,8.0,0.961059028,5,1
62,2015-01-05,1,finishing,Monday,11,0.8,3.94,0.0,2400,0,0.0,0,0,10.0,0.939513889,5,1
63,2015-01-05,1,finishing,Monday,4,0.8,3.94,0.0,3840,0,0.0,0,0,16.0,0.893663194,5,1
64,2015-01-05,1,finishing,Monday,3,0.75,4.15,0.0,1920,0,0.0,0,0,8.0,0.875390625,5,1
65,2015-01-05,1,sweing,Monday,9,0.8,26.16,1227.0,7080,75,0.0,0,0,59.0,0.850569492,5,1
66,2015-01-05,1,finishing,Monday,9,0.8,2.9,0.0,1920,0,0.0,0,0,8.0,0.820833333,5,1
67,2015-01-05,1,finishing,Monday,2,0.8,3.94,0.0,960,0,0.0,0,0,8.0,0.804416667,5,1
68,2015-01-05,1,sweing,Monday,7,0.8,25.9,1255.0,6780,50,0.0,0,0,56.5,0.800684366,5,1
69,2015-01-05,1,sweing,Monday,8,0.8,25.9,1047.0,6780,38,0.0,0,0,56.5,0.800684366,5,1
70,2015-01-05,1,sweing,Monday,1,0.8,26.16,1138.0,7080,63,0.0,0,0,59.0,0.800318644,5,1
71,2015-01-05,1,sweing,Monday,11,0.8,19.31,678.0,4800,50,0.0,0,0,55.0,0.800250962,5,1
72,2015-01-05,1,sweing,Monday,6,0.8,11.61,712.0,7200,50,0.0,0,0,32.0,0.800246011,5,1
73,2015-01-05,1,sweing,Monday,12,0.8,11.61,1037.0,7200,50,0.0,0,0,32.0,0.800246011,5,1
74,2015-01-05,1,sweing,Monday,2,0.8,28.08,757.0,6900,50,0.0,0,0,57.5,0.800076522,5,1
75,2015-01-05,1,sweing,Monday,4,0.8,28.08,759.0,6900,50,0.0,0,0,57.5,0.800076522,5,1
76,2015-01-05,1,finishing,Monday,10,0.75,2.9,0.0,960,0,0.0,0,0,8.0,0.763375,5,1
77,2015-01-05,1,finishing,Monday,5,0.6,2.9,0.0,960,0,0.0,0,0,8.0,0.759270833,5,1
78,2015-01-05,1,sweing,Monday,10,0.75,28.08,1083.0,7020,45,0.0,0,0,58.5,0.7504,5,1
79,2015-01-05,1,sweing,Monday,3,0.75,19.87,944.0,6600,45,0.0,0,0,55.0,0.75024303,5,1
80,2015-01-05,1,finishing,Monday,7,0.8,3.94,0.0,960,0,0.0,0,0,8.0,0.676666667,5,1
81,2015-01-05,1,finishing,Monday,8,0.8,2.9,0.0,960,0,0.0,0,0,8.0,0.664583333,5,1
82,2015-01-05,1,sweing,Monday,5,0.6,21.98,666.0,6960,23,0.0,0,0,58.0,0.600028736,5,1
83,2015-01-06,1,finishing,Tuesday,4,0.8,3.94,0.0,4440,0,0.0,0,0,18.0,0.966781346,6,1
84,2015-01-06,1,finishing,Tuesday,1,0.8,3.94,0.0,1440,0,0.0,0,0,8.0,0.936496212,6,1
85,2015-01-06,1,finishing,Tuesday,3,0.75,4.15,0.0,1800,0,0.0,0,0,10.0,0.899166667,6,1
86,2015-01-06,1,finishing,Tuesday,11,0.8,4.15,0.0,2700,0,0.0,0,0,15.0,0.888686869,6,1
87,2015-01-06,1,finishing,Tuesday,9,0.8,3.94,0.0,1440,0,0.0,0,0,8.0,0.858143939,6,1
88,2015-01-06,1,sweing,Tuesday,1,0.8,26.16,1187.0,10620,75,0.0,0,0,59.0,0.850502311,6,1
89,2015-01-06,1,sweing,Tuesday,9,0.8,26.16,1305.0,10620,75,0.0,0,0,59.0,0.850502311,6,1
90,2015-01-06,1,finishing,Tuesday,10,0.75,3.94,0.0,1440,0,0.0,0,0,8.0,0.809640152,6,1
91,2015-01-06,1,finishing,Tuesday,2,0.8,3.94,0.0,1440,0,0.0,0,0,8.0,0.805909091,6,1
92,2015-01-06,1,sweing,Tuesday,2,0.8,28.08,716.0,10350,50,0.0,0,0,57.5,0.800594466,6,1
93,2015-01-06,1,sweing,Tuesday,4,0.8,28.08,925.0,10350,50,0.0,0,0,57.5,0.800594466,6,1
94,2015-01-06,1,sweing,Tuesday,3,0.8,19.87,963.0,9900,50,0.0,0,0,55.0,0.800273829,6,1
95,2015-01-06,1,sweing,Tuesday,12,0.8,11.61,1101.0,5310,50,0.0,0,0,31.5,0.800140969,6,1
96,2015-01-06,1,sweing,Tuesday,7,0.8,25.9,1035.0,10170,38,0.0,0,0,56.5,0.800128721,6,1
97,2015-01-06,1,sweing,Tuesday,8,0.8,25.9,1083.0,10170,38,0.0,0,0,56.5,0.800128721,6,1
98,2015-01-06,1,sweing,Tuesday,6,0.8,11.61,910.0,4470,38,0.0,0,0,31.5,0.80007657,6,1
99,2015-01-06,1,sweing,Tuesday,10,0.75,28.08,1209.0,10530,45,0.0,0,0,58.5,0.750545455,6,1
100,2015-01-06,1,sweing,Tuesday,11,0.75,19.31,590.0,9900,45,0.0,0,0,55.0,0.750057851,6,1
101,2015-01-06,1,finishing,Tuesday,8,0.8,2.9,0.0,1440,0,0.0,0,0,8.0,0.681060606,6,1
102,2015-01-06,1,sweing,Tuesday,5,0.65,21.98,808.0,10440,35,0.0,0,0,58.0,0.649983281,6,1
103,2015-01-06,1,finishing,Tuesday,7,0.8,2.9,0.0,1440,0,0.0,0,0,8.0,0.61625,6,1
104,2015-01-07,1,finishing,Wednesday,1,0.8,3.94,0.0,1440,0,0.0,0,0,8.0,0.951420455,7,1
105,2015-01-07,1,finishing,Wednesday,9,0.8,3.94,0.0,1440,0,0.0,0,0,8.0,0.880530303,7,1
106,2015-01-07,1,sweing,Wednesday,1,0.8,26.16,1179.0,10620,75,0.0,0,0,59.0,0.850502311,7,1
107,2015-01-07,1,sweing,Wednesday,9,0.8,26.16,1324.0,10620,75,0.0,0,0,59.0,0.850502311,7,1
108,2015-01-07,1,sweing,Wednesday,8,0.8,25.9,1135.0,10170,60,0.0,0,0,56.5,0.850136766,7,1
109,2015-01-07,1,finishing,Wednesday,3,0.75,4.15,0.0,2700,0,0.0,0,0,15.0,0.83,7,1
110,2015-01-07,1,finishing,Wednesday,4,0.8,3.94,0.0,4440,0,0.0,0,0,18.0,0.827186544,7,1
111,2015-01-07,1,finishing,Wednesday,2,0.8,3.94,0.0,1440,0,0.0,0,0,8.0,0.813371212,7,1
112,2015-01-07,1,finishing,Wednesday,10,0.75,3.94,0.0,1440,0,0.0,0,0,8.0,0.805909091,7,1
113,2015-01-07,1,finishing,Wednesday,7,0.8,2.9,0.0,1440,0,0.0,0,0,8.0,0.804640152,7,1
114,2015-01-07,1,sweing,Wednesday,2,0.8,28.08,776.0,10350,63,0.0,0,0,57.5,0.800594466,7,1
115,2015-01-07,1,sweing,Wednesday,4,0.8,28.08,990.0,10350,50,0.0,0,0,57.5,0.800594466,7,1
116,2015-01-07,1,sweing,Wednesday,6,0.8,11.41,986.0,5490,50,0.0,0,0,30.5,0.800343766,7,1
117,2015-01-07,1,sweing,Wednesday,3,0.8,19.87,924.0,9900,50,0.0,0,0,55.0,0.800273829,7,1
118,2015-01-07,1,sweing,Wednesday,12,0.8,11.61,1120.0,5670,50,0.0,0,0,31.5,0.800246753,7,1
119,2015-01-07,1,sweing,Wednesday,7,0.8,25.9,1066.0,10170,50,0.0,0,0,56.5,0.800128721,7,1
120,2015-01-07,1,sweing,Wednesday,10,0.75,28.08,1144.0,10530,69,0.0,0,0,58.5,0.8,7,1
121,2015-01-07,1,sweing,Wednesday,5,0.7,21.98,413.0,9720,40,0.0,0,0,58.0,0.700480831,7,1
122,2015-01-07,1,finishing,Wednesday,8,0.8,2.9,0.0,1440,0,0.0,0,0,8.0,0.681060606,7,1
123,2015-01-07,1,finishing,Wednesday,6,0.8,2.9,0.0,1800,0,0.0,0,0,10.0,0.666515152,7,1
124,2015-01-07,1,sweing,Wednesday,11,0.8,31.83,568.0,9900,40,0.0,0,0,55.0,0.412119835,7,1
125,2015-01-07,1,finishing,Wednesday,5,0.7,4.15,0.0,1440,0,0.0,0,0,8.0,0.330113636,7,1
126,2015-01-08,2,finishing,Thursday,1,0.8,3.94,0.0,1440,0,0.0,0,0,8.0,0.947689394,8,1
127,2015-01-08,2,finishing,Thursday,4,0.8,3.94,0.0,12600,0,0.0,0,0,20.0,0.919905405,8,1
128,2015-01-08,2,sweing,Thursday,9,0.8,26.16,1216.0,10620,88,0.0,0,0,59.0,0.900215716,8,1
129,2015-01-08,2,finishing,Thursday,9,0.8,3.94,0.0,1440,0,0.0,0,0,8.0,0.891723485,8,1
130,2015-01-08,2,sweing,Thursday,1,0.8,26.16,1189.0,10620,75,0.0,0,0,59.0,0.850502311,8,1
131,2015-01-08,2,sweing,Thursday,4,0.8,28.08,942.0,10530,75,0.0,0,0,58.5,0.850181818,8,1
132,2015-01-08,2,sweing,Thursday,7,0.8,25.9,1050.0,10170,60,0.0,0,0,56.5,0.850136766,8,1
133,2015-01-08,2,sweing,Thursday,8,0.8,25.9,1026.0,10170,60,0.0,0,0,56.5,0.850136766,8,1
134,2015-01-08,2,finishing,Thursday,2,0.8,3.94,0.0,1440,0,0.0,0,0,8.0,0.835757576,8,1
135,2015-01-08,2,finishing,Thursday,5,0.7,4.15,0.0,3840,0,0.0,0,0,8.0,0.821354167,8,1
136,2015-01-08,2,sweing,Thursday,2,0.8,28.08,783.0,10050,63,0.0,0,0,58.5,0.800497246,8,1
137,2015-01-08,2,sweing,Thursday,3,0.8,19.87,857.0,9900,50,0.0,0,0,55.0,0.800273829,8,1
138,2015-01-08,2,sweing,Thursday,12,0.8,11.61,548.0,15120,63,0.0,0,0,31.5,0.800107143,8,1
139,2015-01-08,2,sweing,Thursday,6,0.8,11.41,411.0,14640,50,0.0,0,0,30.5,0.800024932,8,1
140,2015-01-08,2,sweing,Thursday,10,0.75,28.08,1066.0,10530,69,0.0,0,0,58.5,0.8,8,1
141,2015-01-08,2,finishing,Thursday,10,0.75,3.94,0.0,1440,0,0.0,0,0,8.0,0.779791667,8,1
142,2015-01-08,2,finishing,Thursday,8,0.8,2.9,0.0,1440,0,0.0,0,0,8.0,0.735984848,8,1
143,2015-01-08,2,finishing,Thursday,3,0.75,4.15,0.0,2160,0,0.0,0,0,12.0,0.712626263,8,1
144,2015-01-08,2,finishing,Thursday,7,0.8,2.9,0.0,1440,0,0.0,0,0,8.0,0.681060606,8,1
145,2015-01-08,2,finishing,Thursday,11,0.8,4.15,0.0,900,0,0.0,0,0,5.0,0.515606061,8,1
146,2015-01-08,2,sweing,Thursday,11,0.35,12.52,287.0,25920,38,0.0,0,0,54.0,0.349951389,8,1
147,2015-01-08,2,sweing,Thursday,5,0.7,42.41,724.0,10260,0,0.0,0,0,57.0,0.233705476,8,1
148,2015-01-10,2,finishing,Saturday,1,0.8,3.94,0.0,2160,0,0.0,0,0,8.0,0.985,10,1
149,2015-01-10,2,finishing,Saturday,3,0.75,4.15,0.0,2760,0,0.0,0,0,12.0,0.930340376,10,1
150,2015-01-10,2,finishing,Saturday,4,0.8,3.94,0.0,6000,0,0.0,0,0,20.0,0.911589744,10,1
151,2015-01-10,2,finishing,Saturday,9,0.8,3.94,0.0,1440,0,0.0,0,0,8.0,0.858143939,10,1
152,2015-01-10,2,sweing,Saturday,9,0.8,26.16,1122.0,10620,75,0.0,0,0,59.0,0.851174114,10,1
153,2015-01-10,2,sweing,Saturday,7,0.8,25.9,970.0,10170,60,0.0,0,0,56.5,0.850136766,10,1
154,2015-01-10,2,sweing,Saturday,8,0.8,25.9,1158.0,10170,60,0.0,0,0,56.5,0.850136766,10,1
155,2015-01-10,2,finishing,Saturday,10,0.8,3.94,0.0,1440,0,0.0,0,0,8.0,0.846950758,10,1
156,2015-01-10,2,finishing,Saturday,11,0.8,4.15,0.0,1440,0,0.0,0,0,8.0,0.817424242,10,1
157,2015-01-10,2,finishing,Saturday,2,0.8,3.94,0.0,1440,0,0.0,0,0,8.0,0.817102273,10,1
158,2015-01-10,2,sweing,Saturday,4,0.8,28.08,660.0,10440,63,0.0,0,0,58.0,0.801028213,10,1
159,2015-01-10,2,sweing,Saturday,2,0.8,28.08,749.0,10350,63,0.0,0,0,57.5,0.800594466,10,1
160,2015-01-10,2,sweing,Saturday,12,0.8,11.61,893.0,4710,50,0.0,0,0,31.5,0.800346445,10,1
161,2015-01-10,2,sweing,Saturday,6,0.8,11.41,887.0,5490,50,0.0,0,0,30.5,0.800343766,10,1
162,2015-01-10,2,sweing,Saturday,1,0.8,26.16,1335.0,10620,63,0.0,0,0,59.0,0.800117103,10,1
163,2015-01-10,2,sweing,Saturday,10,0.8,28.08,1082.0,10530,63,0.0,0,0,58.5,0.8,10,1
164,2015-01-10,2,sweing,Saturday,3,0.75,19.87,1075.0,7080,45,0.0,0,0,56.0,0.750098351,10,1
165,2015-01-10,2,sweing,Saturday,11,0.5,12.52,749.0,9540,38,0.0,0,0,53.0,0.673245283,10,1
166,2015-01-10,2,finishing,Saturday,7,0.8,2.9,0.0,1440,0,0.0,0,0,8.0,0.670075758,10,1
167,2015-01-10,2,finishing,Saturday,8,0.8,2.9,0.0,1440,0,0.0,0,0,8.0,0.628882576,10,1
168,2015-01-10,2,sweing,Saturday,5,0.5,20.79,966.0,7680,0,0.0,0,0,56.0,0.388007813,10,1
169,2015-01-10,2,finishing,Saturday,5,0.5,4.15,0.0,1440,0,0.0,0,0,8.0,0.337973485,10,1
170,2015-01-11,2,finishing,Sunday,3,0.75,4.15,0.0,1440,0,0.0,0,0,8.0,0.93532197,11,1
171,2015-01-11,2,finishing,Sunday,4,0.8,3.94,0.0,3600,0,0.0,0,0,20.0,0.925643939,11,1
172,2015-01-11,2,sweing,Sunday,9,0.8,26.16,1095.0,10620,88,0.0,0,0,59.0,0.900215716,11,1
173,2015-01-11,2,finishing,Sunday,1,0.8,3.94,0.0,1440,0,0.0,0,0,8.0,0.873068182,11,1
174,2015-01-11,2,finishing,Sunday,9,0.8,3.94,0.0,1440,0,0.0,0,0,8.0,0.858143939,11,1
175,2015-01-11,2,sweing,Sunday,1,0.8,26.16,1383.0,10620,75,0.0,0,0,59.0,0.850502311,11,1
176,2015-01-11,2,sweing,Sunday,7,0.8,25.9,1012.0,10170,45,0.0,0,0,56.5,0.850136766,11,1
177,2015-01-11,2,sweing,Sunday,8,0.8,25.9,1209.0,10170,60,0.0,0,0,56.5,0.850136766,11,1
178,2015-01-11,2,finishing,Sunday,10,0.8,3.94,0.0,1440,0,0.0,0,0,8.0,0.828295455,11,1
179,2015-01-11,2,finishing,Sunday,2,0.8,3.94,0.0,1440,0,0.0,0,0,8.0,0.820833333,11,1
180,2015-01-11,2,sweing,Sunday,6,0.8,11.41,887.0,5490,50,0.0,0,0,30.5,0.800343766,11,1
181,2015-01-11,2,sweing,Sunday,12,0.8,11.61,896.0,5670,50,0.0,0,0,31.5,0.800246753,11,1
182,2015-01-11,2,sweing,Sunday,2,0.8,28.08,805.0,10530,63,0.0,0,0,58.5,0.8,11,1
183,2015-01-11,2,sweing,Sunday,10,0.8,28.08,762.0,10530,38,0.0,0,0,58.5,0.8,11,1
184,2015-01-11,2,sweing,Sunday,3,0.8,19.87,1043.0,6420,0,0.0,0,0,55.0,0.690182815,11,1
185,2015-01-11,2,finishing,Sunday,11,0.8,4.15,0.0,1440,0,0.0,0,0,8.0,0.668087121,11,1
186,2015-01-11,2,finishing,Sunday,8,0.8,2.9,0.0,1440,0,0.0,0,0,8.0,0.653598485,11,1
187,2015-01-11,2,finishing,Sunday,5,0.5,4.15,0.0,1440,0,0.0,0,0,8.0,0.609138258,11,1
188,2015-01-11,2,sweing,Sunday,11,0.6,12.52,831.0,9540,30,0.0,0,0,53.0,0.600229846,11,1
189,2015-01-11,2,finishing,Sunday,6,0.8,2.9,0.0,1440,0,0.0,0,0,8.0,0.597348485,11,1
190,2015-01-11,2,finishing,Sunday,7,0.8,2.9,0.0,1440,0,0.0,0,0,8.0,0.590435606,11,1
191,2015-01-11,2,sweing,Sunday,4,0.8,50.48,562.0,10440,0,0.0,0,0,58.0,0.473134796,11,1
192,2015-01-11,2,sweing,Sunday,5,0.6,20.79,1208.0,7980,0,0.0,0,0,57.0,0.452979626,11,1
193,2015-01-12,2,finishing,Monday,1,0.8,3.94,0.0,1440,0,0.0,0,0,8.0,0.955151515,12,1
194,2015-01-12,2,finishing,Monday,4,0.35,4.3,0.0,3240,0,0.0,0,0,18.0,0.942213805,12,1
195,2015-01-12,2,finishing,Monday,3,0.8,4.15,0.0,1800,0,0.0,0,0,10.0,0.905454545,12,1
196,2015-01-12,2,finishing,Monday,2,0.8,3.94,0.0,1440,0,0.0,0,0,8.0,0.880530303,12,1
197,2015-01-12,2,finishing,Monday,9,0.8,3.94,0.0,1440,0,0.0,0,0,8.0,0.858143939,12,1
198,2015-01-12,2,sweing,Monday,1,0.8,26.16,1099.0,8220,75,0.0,0,0,59.0,0.850522167,12,1
199,2015-01-12,2,sweing,Monday,9,0.8,26.16,1093.0,10620,75,0.0,0,0,59.0,0.850502311,12,1
200,2015-01-12,2,sweing,Monday,7,0.8,25.9,1031.0,10170,60,0.0,0,0,56.5,0.850136766,12,1
201,2015-01-12,2,sweing,Monday,8,0.8,25.9,1233.0,10170,60,0.0,0,0,56.5,0.850136766,12,1
202,2015-01-12,2,finishing,Monday,6,0.8,2.9,0.0,1440,0,0.0,0,0,8.0,0.817424242,12,1
203,2015-01-12,2,finishing,Monday,5,0.65,4.15,0.0,1440,0,0.0,0,0,8.0,0.809564394,12,1
204,2015-01-12,2,sweing,Monday,3,0.8,19.87,941.0,9900,0,0.0,0,0,55.0,0.800273829,12,1
205,2015-01-12,2,sweing,Monday,6,0.8,11.41,843.0,5670,50,0.0,0,0,31.5,0.800181818,12,1
206,2015-01-12,2,sweing,Monday,12,0.8,11.61,760.0,4470,50,0.0,0,0,31.5,0.80007657,12,1
207,2015-01-12,2,sweing,Monday,2,0.8,28.08,737.0,10530,63,0.0,0,0,58.5,0.8,12,1
208,2015-01-12,2,finishing,Monday,8,0.8,2.9,0.0,1440,0,0.0,0,0,8.0,0.725,12,1
209,2015-01-12,2,sweing,Monday,10,0.8,50.48,381.0,6930,45,0.0,0,0,58.5,0.688557555,12,1
210,2015-01-12,2,sweing,Monday,5,0.65,20.79,1141.0,8460,0,0.0,0,0,59.0,0.650040783,12,1
211,2015-01-12,2,sweing,Monday,11,0.65,12.52,1004.0,9540,44,0.0,0,0,53.0,0.64998056,12,1
212,2015-01-12,2,finishing,Monday,7,0.8,2.9,0.0,1440,0,0.0,0,0,8.0,0.648106061,12,1
213,2015-01-12,2,finishing,Monday,11,0.8,4.15,0.0,1440,0,0.0,0,0,8.0,0.640577652,12,1
214,2015-01-12,2,sweing,Monday,4,0.35,22.4,581.0,7350,0,0.0,0,0,51.5,0.35063299,12,1
215,2015-01-12,2,finishing,Monday,10,0.8,3.94,0.0,1440,0,0.0,0,0,8.0,0.24625,12,1
216,2015-01-13,2,finishing,Tuesday,4,0.35,4.3,0.0,2160,0,0.0,0,0,12.0,0.952020202,13,1
217,2015-01-13,2,finishing,Tuesday,1,0.8,3.94,0.0,1440,0,0.0,0,0,2.0,0.951420455,13,1
218,2015-01-13,2,finishing,Tuesday,10,0.8,3.94,0.0,5400,0,0.0,0,0,20.0,0.912766667,13,1
219,2015-01-13,2,finishing,Tuesday,3,0.8,4.15,0.0,1620,0,0.0,0,0,9.0,0.901262626,13,1
220,2015-01-13,2,finishing,Tuesday,9,0.8,3.94,0.0,1440,0,0.0,0,0,8.0,0.858143939,13,1
221,2015-01-13,2,sweing,Tuesday,1,0.8,26.16,1073.0,10620,75,0.0,0,0,59.0,0.850502311,13,1
222,2015-01-13,2,sweing,Tuesday,9,0.8,26.16,1156.0,10620,75,0.0,0,0,59.0,0.850502311,13,1
223,2015-01-13,2,sweing,Tuesday,8,0.8,25.9,1211.0,10260,60,0.0,0,0,57.0,0.850252525,13,1
224,2015-01-13,2,sweing,Tuesday,7,0.8,25.9,1126.0,10170,60,0.0,0,0,56.5,0.850136766,13,1
225,2015-01-13,2,finishing,Tuesday,5,0.65,4.15,0.0,1440,0,0.0,0,0,8.0,0.821354167,13,1
